agent,opponent,wins,losses,draws,games,agent_win_rate
best_mode_10,best_mode_5,59,41,0,100,0.590000
best_mode_10,best_model_1,96,4,0,100,0.960000
best_mode_10,best_model_11,78,22,0,100,0.780000
best_mode_10,best_model_2,78,22,0,100,0.780000
best_mode_10,best_model_3,83,17,0,100,0.830000
best_mode_10,best_model_4,97,3,0,100,0.970000
best_mode_10,best_model_6,73,27,0,100,0.730000
best_mode_10,best_model_7,65,35,0,100,0.650000
best_mode_10,best_model_8,68,32,0,100,0.680000
best_mode_10,best_model_9,32,68,0,100,0.320000
best_mode_5,best_mode_10,44,56,0,100,0.440000
best_mode_5,best_model_1,65,35,0,100,0.650000
best_mode_5,best_model_11,36,64,0,100,0.360000
best_mode_5,best_model_2,62,38,0,100,0.620000
best_mode_5,best_model_3,52,48,0,100,0.520000
best_mode_5,best_model_4,75,25,0,100,0.750000
best_mode_5,best_model_6,50,50,0,100,0.500000
best_mode_5,best_model_7,62,38,0,100,0.620000
best_mode_5,best_model_8,51,49,0,100,0.510000
best_mode_5,best_model_9,36,64,0,100,0.360000
best_model_1,best_mode_10,13,87,0,100,0.130000
best_model_1,best_mode_5,38,62,0,100,0.380000
best_model_1,best_model_11,18,82,0,100,0.180000
best_model_1,best_model_2,51,49,0,100,0.510000
best_model_1,best_model_3,33,67,0,100,0.330000
best_model_1,best_model_4,77,23,0,100,0.770000
best_model_1,best_model_6,36,64,0,100,0.360000
best_model_1,best_model_7,32,68,0,100,0.320000
best_model_1,best_model_8,31,69,0,100,0.310000
best_model_1,best_model_9,11,89,0,100,0.110000
best_model_11,best_mode_10,28,72,0,100,0.280000
best_model_11,best_mode_5,68,32,0,100,0.680000
best_model_11,best_model_1,85,15,0,100,0.850000
best_model_11,best_model_2,67,33,0,100,0.670000
best_model_11,best_model_3,72,28,0,100,0.720000
best_model_11,best_model_4,78,22,0,100,0.780000
best_model_11,best_model_6,68,32,0,100,0.680000
best_model_11,best_model_7,76,24,0,100,0.760000
best_model_11,best_model_8,72,28,0,100,0.720000
best_model_11,best_model_9,22,78,0,100,0.220000
best_model_2,best_mode_10,18,82,0,100,0.180000
best_model_2,best_mode_5,50,50,0,100,0.500000
best_model_2,best_model_1,65,35,0,100,0.650000
best_model_2,best_model_11,54,46,0,100,0.540000
best_model_2,best_model_3,29,71,0,100,0.290000
best_model_2,best_model_4,73,27,0,100,0.730000
best_model_2,best_model_6,39,61,0,100,0.390000
best_model_2,best_model_7,43,57,0,100,0.430000
best_model_2,best_model_8,45,55,0,100,0.450000
best_model_2,best_model_9,15,85,0,100,0.150000
best_model_3,best_mode_10,10,90,0,100,0.100000
best_model_3,best_mode_5,47,53,0,100,0.470000
best_model_3,best_model_1,67,33,0,100,0.670000
best_model_3,best_model_11,39,61,0,100,0.390000
best_model_3,best_model_2,65,35,0,100,0.650000
best_model_3,best_model_4,72,28,0,100,0.720000
best_model_3,best_model_6,53,47,0,100,0.530000
best_model_3,best_model_7,44,56,0,100,0.440000
best_model_3,best_model_8,59,41,0,100,0.590000
best_model_3,best_model_9,9,91,0,100,0.090000
best_model_4,best_mode_10,6,94,0,100,0.060000
best_model_4,best_mode_5,27,73,0,100,0.270000
best_model_4,best_model_1,40,60,0,100,0.400000
best_model_4,best_model_11,31,69,0,100,0.310000
best_model_4,best_model_2,41,59,0,100,0.410000
best_model_4,best_model_3,31,69,0,100,0.310000
best_model_4,best_model_6,31,69,0,100,0.310000
best_model_4,best_model_7,33,67,0,100,0.330000
best_model_4,best_model_8,30,70,0,100,0.300000
best_model_4,best_model_9,6,94,0,100,0.060000
best_model_6,best_mode_10,50,50,0,100,0.500000
best_model_6,best_mode_5,53,47,0,100,0.530000
best_model_6,best_model_1,69,31,0,100,0.690000
best_model_6,best_model_11,36,64,0,100,0.360000
best_model_6,best_model_2,55,45,0,100,0.550000
best_model_6,best_model_3,58,42,0,100,0.580000
best_model_6,best_model_4,78,22,0,100,0.780000
best_model_6,best_model_7,43,57,0,100,0.430000
best_model_6,best_model_8,46,54,0,100,0.460000
best_model_6,best_model_9,29,71,0,100,0.290000
best_model_7,best_mode_10,42,58,0,100,0.420000
best_model_7,best_mode_5,46,54,0,100,0.460000
best_model_7,best_model_1,62,38,0,100,0.620000
best_model_7,best_model_11,29,71,0,100,0.290000
best_model_7,best_model_2,63,37,0,100,0.630000
best_model_7,best_model_3,47,53,0,100,0.470000
best_model_7,best_model_4,72,28,0,100,0.720000
best_model_7,best_model_6,47,53,0,100,0.470000
best_model_7,best_model_8,49,51,0,100,0.490000
best_model_7,best_model_9,35,65,0,100,0.350000
best_model_8,best_mode_10,51,49,0,100,0.510000
best_model_8,best_mode_5,50,50,0,100,0.500000
best_model_8,best_model_1,71,29,0,100,0.710000
